id;gruppo;giorno;peso;;;;
A;Trattamento;1;8.99;;;;
A;Trattamento;2;8.40;;;;
A;Trattamento;3;8.34;;;;
A;Trattamento;4;9.02;;;;
A;Trattamento;5;9.71;;;;
A;Trattamento;6;10.46;;;;
A;Trattamento;7;;;;;
A;Trattamento;8;11.62;;;;
A;Trattamento;9;12.25;;;;
A;Trattamento;10;12.70;;;;
A;Trattamento;11;13.62;;;;
A;Trattamento;12;14.66;;;;
A;Trattamento;13;15.43;;;;
A;Trattamento;14;;;;;
A;Trattamento;15;17.91;;;;
A;Trattamento;16;18.26;;;;
A;Trattamento;17;18.53;;;;
A;Trattamento;18;18.86;;;;
A;Trattamento;19;19.46;;;;
B;Trattamento;1;8.62;;;;
B;Trattamento;2;8.17;;;;
B;Trattamento;3;7.92;;;;
B;Trattamento;4;8.63;;;;
B;Trattamento;5;9.15;;;;
B;Trattamento;6;9.66;;;;
B;Trattamento;7;;;;;
B;Trattamento;8;10.50;;;;
B;Trattamento;9;11.30;;;;
B;Trattamento;10;11.93;;;;
B;Trattamento;11;12.83;;;;
B;Trattamento;12;13.52;;;;
B;Trattamento;13;14.20;;;;
B;Trattamento;14;;;;;
B;Trattamento;15;15.62;;;;
B;Trattamento;16;16.44;;;;
B;Trattamento;17;14.80;;;;
B;Trattamento;18;15.53;;;;
B;Trattamento;19;16.89;;;;
C;Trattamento;1;10.85;;;;
C;Trattamento;2;10.08;;;;
C;Trattamento;3;9.88;;;;
C;Trattamento;4;10.72;;;;
C;Trattamento;5;11.09;;;;
C;Trattamento;6;11.84;;;;
C;Trattamento;7;;;;;
C;Trattamento;8;13.18;;;;
C;Trattamento;9;14.20;;;;
C;Trattamento;10;14.70;;;;
C;Trattamento;11;15.59;;;;
C;Trattamento;12;16.64;;;;
C;Trattamento;13;17.32;;;;
C;Trattamento;14;;;;;
C;Trattamento;15;19.03;;;;
C;Trattamento;16;18.57;;;;
C;Trattamento;17;18.08;;;;
C;Trattamento;18;18.66;;;;
C;Trattamento;19;19.30;;;;
D;Trattamento;1;5.91;;;;
D;Trattamento;2;5.55;;;;
D;Trattamento;3;5.36;;;;
